2021-07-08 04:38:08,442:'d'
2021-07-08 04:38:08,652:'a'
2021-07-08 04:38:09,028:'j'
2021-07-08 04:38:09,160:'d'
2021-07-08 04:38:09,190:'a'
2021-07-08 04:38:10,434:Key.enter
2021-07-08 04:38:11,275:'m'
2021-07-08 04:38:11,575:'y'
2021-07-08 04:38:11,696:Key.space
2021-07-08 04:38:11,907:'o'
2021-07-08 04:38:12,192:'t'
2021-07-08 04:38:12,307:'h'
2021-07-08 04:38:12,507:'e'
2021-07-08 04:38:12,710:'r'
2021-07-08 04:38:12,873:Key.space
2021-07-08 04:38:13,700:'p'
2021-07-08 04:38:13,933:'a'
2021-07-08 04:38:14,206:'s'
2021-07-08 04:38:14,391:'s'
2021-07-08 04:38:14,691:'w'
2021-07-08 04:38:14,868:'o'
2021-07-08 04:38:15,111:'r'
2021-07-08 04:38:15,361:'d'
2021-07-08 04:38:16,181:Key.space
2021-07-08 04:38:16,460:'i'
2021-07-08 04:38:16,536:'s'
2021-07-08 04:38:17,429:Key.esc
2021-07-08 04:54:16,983:Key.enter
2021-07-08 04:54:17,547:Key.shift
2021-07-08 04:54:17,723:'H'
2021-07-08 04:54:17,995:'e'
2021-07-08 04:54:18,207:'r'
2021-07-08 04:54:18,376:'e'
2021-07-08 04:54:18,504:Key.space
2021-07-08 04:54:18,750:'i'
2021-07-08 04:54:18,854:'s'
2021-07-08 04:54:19,005:Key.space
2021-07-08 04:54:19,193:'t'
2021-07-08 04:54:19,315:'h'
2021-07-08 04:54:19,449:'e'
2021-07-08 04:54:19,561:Key.space
2021-07-08 04:54:20,478:'g'
2021-07-08 04:54:20,625:'a'
2021-07-08 04:54:20,757:'m'
2021-07-08 04:54:20,926:'e'
2021-07-08 04:54:21,348:Key.enter
2021-07-08 04:54:23,154:Key.esc
